config,ndim,dim1,dim2,dim3,dim4,dim5,dim6,dim7
can_stimuli_eng_listeners,3,0.5106211709977235,0.2984779124435298,0.19090091655874664,NA,NA,NA,NA
can_stimuli_eng_listeners,4,0.4569743788719291,0.2687167859421305,0.17090177399236584,0.10340706119357462,NA,NA,NA
can_stimuli_eng_listeners,5,0.4225082009489872,0.2479779746715883,0.15715115765417478,0.09415736820958771,0.07820529851566195,NA,NA
can_stimuli_eng_listeners,6,0.40471637298499086,0.2371877869205729,0.15037257007964258,0.08976945881626033,0.07483174314221448,0.0431220680563189,NA
can_stimuli_eng_listeners,7,0.3976951371124434,0.23295427338177327,0.14761616087397808,0.0881384993304353,0.0734818782196145,0.04226922424412651,0.017844826837628912
eng_stimuli_all_listeners,2,0.5195010129846015,0.4804989870153984,NA,NA,NA,NA,NA
eng_stimuli_all_listeners,3,0.4483861913084388,0.4148780393431804,0.13673576934838078,NA,NA,NA,NA
eng_stimuli_all_listeners,4,0.3959324776821648,0.36721309460471036,0.12061790677606729,0.11623652093705758,NA,NA,NA
eng_stimuli_all_listeners,5,0.36142506375944633,0.33505457995064347,0.11019273553246234,0.10568991864784959,0.08763770210959825,NA,NA
eng_stimuli_all_listeners,6,0.3425580428743552,0.31796266233901166,0.10435161801318513,0.09992830373499063,0.08291445359052226,0.05228491944793513,NA
eng_stimuli_all_listeners,7,0.33560800360516746,0.31120357909196605,0.10225430078678616,0.09784699658775184,0.0811834210041045,0.05114659592500702,0.020757102999217004
eng_stimuli_can_listeners,2,0.5667039774462717,0.4332960225537283,NA,NA,NA,NA,NA
eng_stimuli_can_listeners,3,0.4794256800725932,0.3654148326458239,0.15515948728158285,NA,NA,NA,NA
eng_stimuli_can_listeners,4,0.415947566313837,0.31840790388449225,0.13528780175370284,0.1303567280479679,NA,NA,NA
eng_stimuli_can_listeners,5,0.38053305868122156,0.29144958517878644,0.12384386414695168,0.11914660555649925,0.08502688643654109,NA,NA
eng_stimuli_can_listeners,6,0.35962072332764494,0.2753415175145991,0.11695055759909591,0.11264709705471747,0.08011912604454882,0.05532097845939366,NA
eng_stimuli_can_listeners,7,0.35099596223469376,0.26863568554908723,0.11414244712453862,0.10992690164145055,0.07815328762575215,0.05400282343934753,0.024142892385130153
eng_stimuli_eng_listeners,2,0.5258258799373856,0.4741741200626144,NA,NA,NA,NA,NA
eng_stimuli_eng_listeners,3,0.44725768504941305,0.3978370876551322,0.15490522729545472,NA,NA,NA,NA
eng_stimuli_eng_listeners,4,0.39426327566911457,0.3511357736035782,0.13623395430113275,0.11836699642617442,NA,NA,NA
eng_stimuli_eng_listeners,5,0.36657803016791096,0.3263131504113786,0.12630788024751968,0.10996489199781925,0.07083604717537145,NA,NA
eng_stimuli_eng_listeners,6,0.35180969159946346,0.3132589262184206,0.1211982743363307,0.10551758999344661,0.0679835448763745,0.04023197297596414,NA
eng_stimuli_eng_listeners,7,0.34936385826553806,0.31107567855495116,0.12035621852310853,0.10482698019732233,0.06748958350132016,0.03992158544853531,0.006966095509224401
mixed_stimuli_all_listeners,2,0.509697050625339,0.49030294937466096,NA,NA,NA,NA,NA
mixed_stimuli_all_listeners,3,0.41728870771397913,0.4032792310567269,0.17943206122929395,NA,NA,NA,NA
mixed_stimuli_all_listeners,4,0.35640658598349256,0.3431533896350932,0.15291255270878457,0.14752747167262972,NA,NA,NA
mixed_stimuli_all_listeners,5,0.3269109742110752,0.3147362405152115,0.13954355178957564,0.13318319339049767,0.08562604009364011,NA,NA
mixed_stimuli_all_listeners,6,0.3042844663579855,0.2927420050710006,0.12953899514135925,0.1238796882091521,0.07956463030780944,0.06999021491269308,NA
mixed_stimuli_all_listeners,7,0.29176065043155547,0.28069645571684704,0.12408160827787007,0.11873092323103979,0.07624699497947271,0.067116690148184735,0.04136667721503017
mixed_stimuli_can_listeners,2,0.5331987153870383,0.4668012846129616,NA,NA,NA,NA,NA
mixed_stimuli_can_listeners,3,0.4255862924210118,0.37444604512416857,0.19996766245481967,NA,NA,NA,NA
mixed_stimuli_can_listeners,4,0.3657457545615491,0.3217582058652615,0.17150497704474263,0.1409910625284468,NA,NA,NA
mixed_stimuli_can_listeners,5,0.33574138466260944,0.2948251119829236,0.1553777527812462,0.12915879500328084,0.08489695556993994,NA,NA
mixed_stimuli_can_listeners,6,0.3133071387508,0.27482958786125417,0.1449352658846656,0.12015258519359776,0.07886868695538615,0.06790673535429628,NA
mixed_stimuli_can_listeners,7,0.3028579531525967,0.265635772150985,0.14006939850333194,0.1161241019797211,0.0762191644548126,0.0656143410956797,0.03347926866287294
mixed_stimuli_eng_listeners,2,0.5158937714844726,0.4841062285155275,NA,NA,NA,NA,NA
mixed_stimuli_eng_listeners,3,0.42237594452435007,0.3962566070015083,0.18136744847414168,NA,NA,NA,NA
mixed_stimuli_eng_listeners,4,0.3653172337721675,0.3437989901403623,0.15560177481832052,0.13528200126914963,NA,NA,NA
mixed_stimuli_eng_listeners,5,0.33564393978426327,0.31572606642305034,0.1424910491517257,0.12368543996677064,0.08245350467419002,NA,NA
mixed_stimuli_eng_listeners,6,0.3115599445436184,0.29354222208525843,0.1323217890778892,0.11459001864654117,0.0765352380835599,0.07145078756313292,NA
mixed_stimuli_eng_listeners,7,0.29652516393913475,0.27942414442674274,0.1257902702257946,0.10887533780739246,0.07281332750737746,0.06796349586712322,0.04860826022643487
